DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				BACK	-94.21	57.71		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		GULL	-108.26	50.06		MCMU	-111.21	56.66		PINA	-96.04	50.2		RANK	-92.11	62.82		THRF	-96.36	48.03		WGRY	-120.03	51.88		BLC	-96.01	64.32		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)
06-18				15.39				16.03				14.33				22.96				22.73				18.83				29.22				21.7				167.61				36.38				26.32				25.6								14.72				122.04				10.01				15.39
06-19				26.13				39.34				34.98				56.78				23.41				38.97				40.06				57.51				204.57				22.53				62.73				71.19								14.01				169.11				16.49				26.13
06-20				17.82				45.22				37.41				47.59				26.03				25.82				23.33				51.8				150.1				18.89				71.23				46.89								20.08				179.78				14.79				17.82
06-21				6.69				17.29				14.92				27.08				9.41				16.16				20.74				44.95				177.53				7.14				45.02				57.58								16.86				74.66				16.67				6.69
06-22				13.64				29.0				27.37				24.87				18.18				21.65				28.46				22.5				158.16				17.57				21.75				38.03								8.89				67.57				5.95				13.64
06-23				9.89				18.44				16.84				24.26				11.17				11.69				22.75				23.04				150.57				14.32				26.63				35.98								10.81				48.73				4.78				9.89
06-24				11.0				11.19				11.99				15.92				8.76				11.72				19.7				14.71				142.12				11.36				18.1				15.96								6.87				23.47				2.47				11.0
07-01				37.79				46.72				36.63				47.82				20.42				29.41				20.8				48.24				152.13				25.22				56.56				39.21								13.25				68.9				9.53				16.79
07-02				20.06				27.84				24.71				27.69				11.48				19.34				15.97				32.98				138.63				13.69				28.02				24.78								6.56				43.15				6.43				9.32
07-03				103.76				54.1				58.54				83.16				43.67				39.54				30.31				72.66				144.66				33.92				67.45				325.02								26.39				40.23				25.37				26.82
07-04				168.03				52.8				60.11				107.67				22.92				29.46				21.37				169.47				151.24				23.64				70.29				208.5								16.22				52.02				18.45				13.62
07-05				65.71				46.39				54.11				44.01				14.45				25.13				19.85				170.27				135.48				21.2				91.48				170.73								8.17				44.02				11.1				12.27
07-06				77.9				67.78				59.21				64.12				28.88				34.23				28.94				59.77				149.03				47.72				33.44				81.05								20.4				49.42				19.11				27.94
07-07				55.11				39.94				41.95				35.95				18.38				23.13				20.05				34.04				134.71				20.79				30.11				59.2								12.0				42.56				8.65				15.93
07-08				37.84				52.89				53.86				22.63				6.38				14.65				10.34				25.83				137.7				7.65				27.24				31.64								4.36				17.15				3.64				6.34
